"name,imageBase64,type,operating_system,main_purpose,architecture,CPU,memory,hard_drive,gpu,monitor,keyboard,mouse,price,voting,discussion"
"Windows Intel Laptop Computer Business 2,example,Laptop,Windows,Business,Intel,Intel i5,HyperX 32GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 24 inch,Adata K20,XPG Primer,1710,0,1"
"Windows AMD Laptop Computer Business 1,example,Laptop,Windows,Business,AMD,AMD Ryzen 5,Corsair 16GB,Adata 256GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1710,6,1"
"Windows AMD Laptop Computer Business 2,example,Laptop,Windows,Business,AMD,AMD Ryzen 5,HyperX 32GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,1760,0,1"
"Windows Intel Laptop Computer Scientific 1,example,Laptop,Windows,Scientific,Intel,Intel i7,Corsair 16GB,Adata 512GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1400,0,1"
"Windows Intel Laptop Computer Scientific 2,example,Laptop,Windows,Scientific,Intel,Intel i9,Corsair 32GB,Adata 1TB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,2035,7,1"
"Windows AMD Laptop Computer Scientific 1,example,Laptop,Windows,Scientific,AMD,AMD Ryzen 7,Corsair 16GB,Adata 512GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1450,0,1"
"Windows AMD Laptop Computer Scientific 2,example,Laptop,Windows,Scientific,AMD,AMD Ryzen 9,Corsair 32GB,Adata 1TB Solid Slate Drive,AMD RX 6700 XT,MSI 27 inch,Adata K20,XPG Primer,2085,6,1"
"Windows Intel Laptop Computer Gaming 1,example,Laptop,Windows,Gaming,Intel,Intel i7,Corsair 64GB,Adata 512GB Solid Slate Drive,AMD RX 6700 XT,MSI 27 inch,Corsair K70,Coarsair Glaive,2040,0,1"
"Windows Intel Laptop Computer Gaming 2,example,Laptop,Windows,Gaming,Intel,Intel i9,Corsair 64GB,Adata 1TB Solid Slate Drive,AMD RX 6900 XT,Asus 43 inch,Corsair K70,Coarsair Glaive,3710,0,1"
"Windows AMD Laptop Computer Gaming 1,example,Laptop,Windows,Gaming,AMD,AMD Ryzen 7,Corsair 64GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Corsair K70,Coarsair Glaive,2090,0,1"
"Windows AMD Laptop Computer Gaming 2,example,Laptop,Windows,Gaming,AMD,AMD Ryzen 9,Corsair 64GB,Adata 1TB Solid Slate Drive,AMD RX 6900 XT,Asus 43 inch,Corsair K70,Coarsair Glaive,3760,0,1"
"macOs Intel Laptop Computer Business 1,example,Laptop,macOs,Business,Intel,Intel i5,Corsair 16GB,Adata 256GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1710,0,1"
"macOs Intel Laptop Computer Business 2,example,Laptop,macOs,Business,Intel,Intel i5,Corsair 32GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,1735,0,1"
"macOs AMD Laptop Computer Business 1,example,Laptop,macOs,Business,AMD,AMD Ryzen 5,Corsair 16GB,Adata 256GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1710,0,1"
"macOs AMD Laptop Computer Business 2,example,Laptop,macOs,Business,AMD,AMD Ryzen 5,Corsair 32GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,1785,0,1"
"macOs Intel Laptop Computer Scientific 1,example,Laptop,macOs,Scientific,Intel,6,,Corsair 16GB,Adata 512GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1400,0,1"
"macOs Intel Laptop Computer Scientific 2,example,Laptop,macOs,Scientific,Intel,11,Corsair 32GB,Adata 1TB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,2035,7,1"
"macOs AMD Laptop Computer Scientific 1,example,Laptop,macOs,Scientific,AMD,AMD Ryzen 7,Corsair 16GB,Adata 512GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1450,0,1"
"macOs AMD Laptop Computer Scientific 2,example,Laptop,macOs,Scientific,AMD,AMD Ryzen 9,Corsair 32GB,Adata 1TB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,2085,0,1"
"macOs Intel Laptop Computer Gaming 1,example,Laptop,macOs,Gaming,Intel,7,Corsair 64GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,Asus 27 inch,Corsair K70,Coarsair Glaive,2Adata 512GB Solid Slate Drive,7,1"
"macOs Intel Laptop Computer Gaming 2,example,Laptop,macOs,Gaming,Intel,Intel i9,Corsair 64GB,Adata 1TB Solid Slate Drive,AMD RX 6900 XT,Asus 43 inch,Corsair K70,Coarsair Glaive,3710,9,1"
"macOs AMD Laptop Computer Gaming 1,example,Laptop,macOs,Gaming,AMD,AMD Ryzen 7,Corsair 64GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,Asus 27 inch,Corsair K70,Coarsair Glaive,2160,0,1"
"macOs AMD Laptop Computer Gaming 2,example,Laptop,macOs,Gaming,AMD,AMD Ryzen 9,Corsair 64GB,Adata 1TB Solid Slate Drive,AMD RX 6900 XT,Asus 43 inch,Corsair K70,Coarsair Glaive,3760,0,1"
"Linux Intel Laptop Computer Business 1,example,Laptop,Linux,Business,Intel,Intel i9,Corsair 16GB,Adata 256GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1710,7,1"
"Linux Intel Laptop Computer Business 2,example,Laptop,Linux,Business,Intel,Intel i5,Corsair 32GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,1735,0,1"
"Linux AMD Laptop Computer Business 1,example,Laptop,Linux,Business,AMD,Adata 512GB Solid Slate Drive,Corsair 16GB,Adata 256GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1710,0,1"
"Linux AMD Laptop Computer Business 2,example,Laptop,Linux,Business,AMD,AMD Ryzen 5,Corsair 32GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,1785,9,1"
"Linux Intel Laptop Computer Scientific 1,example,Laptop,Linux,Scientific,Intel,Intel i7,Corsair 16GB,Adata 512GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1400,0,1"
"Linux Intel Laptop Computer Scientific 2,example,Laptop,Linux,Scientific,Intel,Intel i9,Corsair 32GB,Adata 1TB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,2035,0,1"
"Linux AMD Laptop Computer Scientific 1,example,Laptop,Linux,Scientific,AMD,123,Corsair 16GB,Adata 512GB Solid Slate Drive,AMD RX 6700 XT,MSI 24 inch,Adata K20,XPG Primer,1450,7,1"
"Linux AMD Laptop Computer Scientific 2,example,Laptop,Linux,Scientific,AMD,AMD Ryzen 9,Corsair 32GB,Adata 1TB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Adata K20,XPG Primer,2085,0,1"
"Linux Intel Laptop Computer Gaming 1,example,Laptop,Linux,Gaming,Intel,9,Corsair 64GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Corsair K70,Coarsair Glaive,3710,7,1"
"Linux Intel Laptop Computer Gaming 2,example,Laptop,Linux,Gaming,Intel,Intel i9,Corsair 64GB,Adata 1TB Solid Slate Drive,AMD RX 6900 XT,Asus 43 inch,Corsair K70,Coarsair Glaive,3710,0,1"
"Linux AMD Laptop Computer Gaming 1,example,Laptop,Linux,Gaming,AMD,AMD Ryzen 7,Corsair 64GB,Adata 512GB Solid Slate Drive,AMD RX 6800 XT,MSI 27 inch,Corsair K70,Coarsair Glaive,2090,0,1"
"Linux AMD Laptop Computer Gaming 2,example,Laptop,Linux,Gaming,AMD,AMD Ryzen 9,Corsair 64GB,Adata 1TB Solid Slate Drive,AMD RX 6900 XT,Asus 43 inch,Corsair K70,Coarsair Glaive,3760,9,1"
